##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	RS10252_S9_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70916612
Sequences flagged as poor quality	0
Sequence length	50
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
2113	42	0.011724284898406268
2113	43	0.029065559264338958
2113	44	0.032866890983150654
2113	45	-0.002950781932000268
2113	46	0.0231591292771256
2113	47	0.06299009548239809
2113	48	0.02851637937368423
2113	49	0.037976945783015026
2113	50	0.02424923220273456
2114	1	0.04017756627679603
2114	2	-0.038523266072708395
2114	3	0.0268627753258599
2114	4	-6.988354960455467E-4
2114	5	0.038549287295971624
2114	6	0.030401489700984996
2114	7	0.02349957220317833
2114	8	0.01464402549292032
2114	9	0.0038000656644925357
2114	10	0.028907920122698272
2114	11	-0.008088959129871398
2114	12	0.04265427883512274
2114	13	0.015370289599275111
2114	14	0.04436197608156078
2114	15	0.010366144729687221
2114	16	0.04433283408510391
2114	17	-0.00768136635502259
2114	18	0.02981844730773986
2114	19	0.02194100965751744
2114	20	0.051257354563347235
2114	21	0.0656279629904617
2114	22	0.022231560985886745
2114	23	0.0633766134791145
2114	24	0.05151063501352837
2114	25	0.030687442037752533
2114	26	0.017414786201079835
2114	27	0.05422895457753896
2114	28	0.028336219563335874
2114	29	0.03493403119886551
2114	30	0.025591986312207382
2114	31	0.02591927079755152
2114	32	0.022897330515185388
2114	33	0.08131444076325778
2114	34	0.041311350814574155
2114	35	0.03665635694563463
2114	36	0.05614056184378313
2114	37	0.04286249853114299
2114	38	0.007993734624577087
2114	39	0.033480139740504455
2114	40	-0.0039093414864197484
2114	41	0.021485269686671415
2114	42	0.02814115308265741
2114	43	0.04640884380588517
2114	44	0.06657837376688036
2114	45	0.007182464376441544
2114	46	0.03597278946099891
2114	47	0.056436716224517625
2114	48	0.038258858345209035
2114	49	0.01625684981021891
2114	50	0.0773532108834658
2115	1	0.06424635000188061
2115	2	-0.01452403520551826
2115	3	3.4064503467590157E-4
2115	4	0.028303661703191096
2115	5	-0.0022211549729149738
2115	6	0.057108770820519794
2115	7	0.03668628762655857
2115	8	-3.9070714938560513E-4
2115	9	0.018306801589794475
2115	10	0.044233909753579326
2115	11	0.04010556396652731
2115	12	0.07495988962649136
2115	13	-0.008842736912455962
2115	14	0.03716337419396609
2115	15	0.0054404057733066225
2115	16	0.004976551438311105
2115	17	0.00821252799003247
2115	18	0.05861952883953592
2115	19	0.027163120662777374
2115	20	0.05188598351262641
2115	21	0.043728205993915026
2115	22	0.05720122629061564
2115	23	0.03884870117543926
2115	24	0.06058033744459834
2115	25	0.024441232798658064
2115	26	0.03618698383425567
2115	27	0.030434238558861182
2115	28	0.062070036535303075
2115	29	0.0358542530368382
2115	30	0.053198425173853536
2115	31	-0.015732684408604314
2115	32	-1.6388298476499585E-4
2115	33	0.053709142622267336
2115	34	0.03680254429946217
2115	35	-0.015804501581762054
2115	36	0.04213903501789673
2115	37	0.030479006434454448
2115	38	0.03695110254151501
2115	39	0.04104242863618879
2115	40	0.054705848504617904
2115	41	-0.010375697381633131
2115	42	0.008485032835537254
2115	43	0.040622911521879246
2115	44	0.025310504563279324
2115	45	0.010054615237486075
2115	46	0.0011326954762154173
2115	47	0.02920905882300673
2115	48	0.03522058334037581
2115	49	0.06208831170057039
2115	50	0.054923085772450975
2116	1	0.02993505824932896
2116	2	0.048683827663765555
2116	3	0.06448761926204583
2116	4	0.025978079637191342
2116	5	0.014836065963848455
2116	6	0.03441864458424959
2116	7	0.05426129756445164
2116	8	0.009078825429625681
2116	9	0.026011837251132874
2116	10	0.04346160175816749
2116	11	0.02769277863524877
2116	12	0.03421426691166829
2116	13	0.012312416308823515
2116	14	0.0767290597737258
2116	15	0.011264599354738891
2116	16	0.03902965478798137
2116	17	0.03454258491801454
2116	18	0.04765385957627899
2116	19	0.008405139381721938
2116	20	0.03711247122880934
2116	21	0.059402820598634776
2116	22	0.0758011844426818
2116	23	0.021600624046378414
2116	24	0.036590878415744044
2116	25	0.031766082281116326
2116	26	0.04127910740761109
2116	27	0.07321967688814368
2116	28	0.054157822998952554
2116	29	0.0071472193288713015
2116	30	0.03969702403605169
2116	31	0.035774028938725166
2116	32	0.024569221455458035
2116	33	0.061895653552639374
2116	34	0.06547034982600763
2116	35	0.04674943387433217
2116	36	0.032794118620536494
2116	37	0.04407783659787157
2116	38	0.0592260050162281
2116	39	0.0734929958653936
2116	40	0.09075522892981525
